timestamp,Tweet Volume,Total Sentiment Value,Weighted Sentiment,BTC Value
7/5/2020 21:00,706,-0.32896678,-232.2505467,9038.61
7/6/2020 23:00,343,0.141139934,48.41099736,9300.44
7/7/2020 21:45,362,-0.333333333,-120.6666665,9247.88
7/8/2020 23:45,529,-0.06719826,-35.54787954,9394.753333
7/9/2020 22:30,520,-0.272222222,-141.5555554,9225.476667
7/10/2020 21:15,661,-0.04184431,-27.65908891,9263.06
7/12/2020 22:00,180,-0.1,-18,9287.383333
7/13/2020 20:45,264,-0.204273504,-53.92820506,9241.81
7/14/2020 22:45,788,-0.16371408,-129.006695,9254.366667
7/15/2020 21:30,890,-0.230769231,-205.3846156,9208.12
7/16/2020 23:30,384,-0.055702918,-21.38992051,9130.046667
7/17/2020 22:15,846,-0.19407442,-164.1869593,9156.176667
7/18/2020 21:00,367,-0.385,-141.295,9172.433333
7/19/2020 23:00,524,-0.170385661,-89.28208636,9193.696667
7/20/2020 21:45,372,-0.105365687,-39.19603556,9165.123333
7/21/2020 23:45,386,-0.252587532,-97.49878735,9369.18
7/23/2020 21:15,297,-0.35483871,-105.3870969,9589.166667
7/25/2020 22:00,642,-0.180594892,-115.9419207,9687.716667
7/26/2020 20:45,453,-0.080887681,-36.64211949,9913.486667
7/27/2020 22:45,752,-0.15004902,-112.836863,11125.98333
7/28/2020 21:30,1183,-0.147921214,-174.9907962,10936.78333
7/29/2020 23:30,339,0.174671655,59.21369105,11040.11667
7/30/2020 22:15,385,-0.141459972,-54.46208922,11051.32
7/31/2020 21:00,429,-0.066666667,-28.60000014,11338.03667
8/1/2020 23:00,576,-0.06744726,-38.84962176,11880.23667
8/2/2020 21:45,532,-0.120071685,-63.87813642,11091.87333
8/3/2020 23:45,439,-0.210526316,-92.42105272,11304.11
8/4/2020 22:30,501,-0.206875,-103.644375,11167.45333
8/5/2020 21:15,1275,-0.176635465,-225.2102179,11676.29333
8/6/2020 23:15,492,-0.097463324,-47.95195541,11824.45333
8/7/2020 22:00,534,-0.362903226,-193.7903227,11603.06
8/8/2020 20:45,1367,-0.200973647,-274.7309754,11739.30333
8/9/2020 22:45,5539,-0.094636584,-524.1920388,11783.04
8/10/2020 2:00,7835,-0.087577646,-686.1708564,11948.21667
8/10/2020 5:15,6294,-0.11788147,-741.9459722,11972.32333
8/10/2020 8:30,7362,-0.091202747,-671.4346234,11801.74
8/10/2020 11:45,8962,-0.113585745,-1017.955447,11850.38667
8/10/2020 15:00,9104,-0.079298907,-721.9372493,11885.49667
8/10/2020 18:15,8244,-0.091224456,-752.0544153,11831.21667
8/10/2020 21:30,4681,-0.110626346,-517.8419256,11853.46333
8/11/2020 13:45,1433,-0.138229635,-198.083067,11477.5
8/11/2020 17:00,8520,-0.085563938,-729.0047518,11399.72
8/11/2020 20:15,8215,-0.080892257,-664.5298913,11303.38
8/11/2020 23:30,1593,-0.094372749,-150.3357892,11306.80333
8/12/2020 2:45,5338,-0.033466676,-178.6451165,11294.27667
8/12/2020 6:00,6664,-0.120881978,-805.5575014,11369.63667
8/12/2020 9:15,6959,-0.099793231,-694.4610945,11482.26333
8/12/2020 12:30,9064,-0.089232313,-808.801685,11540.87
8/12/2020 15:45,8775,-0.048487742,-425.4799361,11535.43
8/12/2020 19:00,7646,-0.103202646,-789.0874313,11550.61333
8/12/2020 22:15,6520,-0.08373721,-545.9666092,11605.83
8/13/2020 1:30,5798,-0.138162799,-801.0679086,11575.13667
8/13/2020 4:45,6007,-0.144826856,-869.974924,11526.80333
8/13/2020 8:00,6832,-0.105045016,-717.6675493,11464.61333
8/13/2020 11:15,8413,-0.069828998,-587.4713602,11510.99
8/13/2020 14:30,9398,-0.092225852,-866.7385571,11498.02333
8/13/2020 17:45,9313,-0.102839504,-957.7443008,11561.43333
8/13/2020 21:00,9766,-0.085798314,-837.9063345,11752.98667
8/14/2020 0:15,6540,-0.066744909,-436.5117049,11731.57333
8/14/2020 3:30,5649,-0.118866167,-671.4749774,11697.92667
8/14/2020 6:45,6967,-0.100287538,-698.7032772,11689.56
8/14/2020 10:00,7512,-0.09048533,-679.725799,11713.67
8/14/2020 13:15,9365,-0.081834677,-766.3817501,11771.76333
8/14/2020 16:30,10003,-0.080482905,-805.0704987,11807.51
8/14/2020 19:45,7632,-0.139135247,-1061.880205,11768.99667
8/14/2020 23:00,6783,-0.123163383,-835.4172269,11880.53667
8/15/2020 2:15,5197,-0.130390581,-677.6398495,11870.35667
8/15/2020 5:30,5948,-0.130076436,-773.6946413,11872.94667
8/15/2020 8:45,5838,-0.112342188,-655.8536935,11866.62
8/15/2020 12:00,8158,-0.10790216,-880.2658213,11805.64667
8/15/2020 15:15,8738,-0.083934031,-733.4155629,11862.07333
8/15/2020 18:30,8227,-0.11786429,-969.6695138,11925.61
8/15/2020 21:45,6606,-0.097651277,-645.0843359,11861.58333
8/16/2020 1:00,5253,-0.088527347,-465.0341538,11872.34667
8/16/2020 4:15,4861,-0.038514198,-187.2175165,11877.65333
8/16/2020 7:30,5677,-0.143903839,-816.942094,11824.77667
8/16/2020 10:45,6466,-0.10264198,-663.6830427,11776
8/16/2020 14:00,7980,-0.103621623,-826.9005515,11843.17
8/16/2020 17:15,7694,-0.090031987,-692.706108,11827.26333
8/16/2020 20:30,6895,-0.11339225,-781.8395638,11863.96667
8/16/2020 23:45,5686,-0.122326138,-695.5464207,11855.63
8/17/2020 3:00,5260,-0.096482054,-507.495604,11830.42333
8/17/2020 6:15,6057,-0.167828577,-1016.537691,11851.7
8/17/2020 9:30,6940,-0.121764811,-845.0477883,11888.7
8/17/2020 12:45,12987,-0.076111402,-988.4587778,12220.08667
8/17/2020 16:00,11837,-0.124648008,-1475.458471,12330.08
8/17/2020 19:15,9232,-0.060065101,-554.5210124,12325.14667
8/17/2020 22:30,7304,-0.125631429,-917.6119574,12321.05333
8/18/2020 1:45,5946,-0.137159243,-815.5488589,12274.13333
8/18/2020 5:00,6059,-0.138785197,-840.8995086,12242.06333
8/18/2020 8:15,6485,-0.125188701,-811.848726,12239.95667
8/18/2020 11:30,9296,-0.14462227,-1344.408622,12011.06667
8/18/2020 14:45,9073,-0.116721678,-1059.015784,11965.61
8/18/2020 18:00,8472,-0.179508212,-1520.793572,12030.25
8/18/2020 21:15,6891,-0.199741515,-1376.41878,11998.33
8/19/2020 0:30,5696,-0.115943248,-660.4127406,11922.97333
8/19/2020 3:45,6155,-0.131256163,-807.8816833,11748.16
8/19/2020 7:00,6975,-0.134392618,-937.3885106,11785.43333
8/19/2020 10:15,6956,-0.133887681,-931.322709,11826.99333
